Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
30121,8072,425378,5203,147593,952462,665777,4678,139580,139212,14952,3138,17164,3103,17044,209,106981,0,186,251,1
28649,7746,422759,5108,141776,937620,656094,3364,155784,155733,11361,3124,21460,3108,21341,122,114249,0,260,342,1
31472,7915,425396,5054,146876,948992,667285,2796,157152,158015,8664,2318,18548,2390,18934,107,112556,0,236,338,1
45992,8665,449711,3282,146498,978881,630691,3649,139038,138983,11268,7153,30742,7277,30901,176,113883,0,212,229,1
36851,6870,412724,3637,142352,938834,649716,3750,140759,144646,13596,8054,37554,8057,37690,707,107331,0,190,256,1
36353,7527,419926,3458,140418,962185,655009,3391,154005,149480,11175,7860,36034,7831,35989,116,107078,0,254,327,1
8740,2436,196198,1655,132497,962319,609706,3496,144085,145795,8533,7792,36704,7788,36724,107,111772,0,212,258,1
3476,339,52360,24,139687,943585,659955,4262,289814,290219,4254,7654,35769,7691,35697,105,113630,0,184,277,1
4888,687,86653,143,138361,944335,647062,3706,269301,268372,4561,8133,38566,8138,38536,116,112522,0,314,378,1
3780,366,42709,22,143560,1000929,667216,3897,262433,262976,4554,7525,34372,7440,33985,200,108467,0,264,48,1
3756,353,38174,22,143916,939533,661020,3447,270618,270986,3931,7605,33592,7664,34078,242,105540,0,239,6,1
60049,1073,389098,567,135500,946274,644693,3730,258305,258210,6072,7605,36552,7605,36438,207,112672,0,236,3,1
125208,138,516914,22,141220,1037096,625609,3086,250996,251254,10670,7550,40272,7548,40211,124,118456,0,188,17,1
112204,250,489335,85,117015,978402,510320,3032,242597,244187,10826,6667,39246,6684,39431,117,113738,0,204,2,1
116658,143,494820,21,110794,992928,267421,3286,242645,240776,10260,6784,40371,6777,40380,219,104661,0,191,8,1
108747,237,494940,61,117675,1000036,225859,3628,258084,256377,5943,6654,36508,6636,36464,111,107848,0,204,8,1
117406,138,501409,21,125520,1012392,239426,3689,287248,287880,3621,7900,37774,7926,37684,174,99875,0,230,4,1
113042,340,494366,90,118673,900623,229638,3292,191001,191583,5631,7652,35092,7572,35135,210,104906,0,221,8,1
104752,277,483227,65,114006,900975,513387,3152,252021,251571,4083,7403,35033,7438,34601,92,95549,0,216,12,1
117941,142,483040,20,113041,990681,544394,3507,261605,261902,3911,7751,36520,7746,36937,159,97048,0,270,119,1
117430,121,479602,20,123914,972771,635930,3303,282283,282555,3392,7543,34856,7557,34767,110,114098,0,207,4,1
123020,130,505536,20,126546,1059798,630290,3309,230864,230554,2769,7680,36150,7750,36136,206,114710,0,231,6,1
116651,120,476566,20,134083,936601,355016,43,344417,352316,345,3253,14620,3229,15183,117,106165,0,71,0,1
99068,560,470252,98,124586,971403,634487,2360,267110,259050,9389,4024,23262,4221,24630,2993,61885,8,4,8,1
118497,126,488171,21,108488,1004175,467730,2171,1262562,1267559,10020,6316,43353,6124,41838,5303,65256,169,245,239,1
120547,236,531255,59,71511,673565,154775,36,508990,506402,26,975,5671,957,5635,65787,492609,125,2060,1843,1
36039,3194,356710,2469,153345,708889,370539,187,2171544,2171017,2262,413,3685,408,3676,15315,107388,5,61,54,1
60420,8969,637704,4641,191721,974344,642453,28,396274,395268,240,378,4274,387,4470,12714,90182,8,8,11,1
42998,8297,432552,2843,600669,3013650,2883010,21,366325,366295,217,3974,28162,4031,28385,12859,91417,1,1,4,1
28143,7045,403498,3679,133934,933460,284332,67,338074,338717,1555,6617,49381,6584,49224,12412,93562,3,5,1,1
95098,21842,1385174,14872,44750,341144,93548,24,387370,387391,1173,1450,4636,1417,4375,13814,99763,4,6,1,1
9732,2455,160347,1155,34101,172480,71666,21,362794,362142,902,177,555,176,536,12281,90147,2,1,2,1
8772,1867,87737,597,33979,154411,70346,43,352850,352875,380,991,4631,996,4677,12612,91769,1,0,0,1
9898,2060,109318,653,43870,244075,92528,22,364286,364243,22,2356,10681,2392,10875,9634,111955,5,3,1,1
8755,1671,82853,510,40750,182979,85665,70,349027,349091,799,3717,25107,3710,25111,3303,53453,53,0,1,1
8596,1528,81520,463,37518,184496,78096,32,366230,366301,184,5413,31255,5383,30861,1766,44034,62,0,0,1
9420,1767,91357,608,35051,158693,73079,25,363152,363002,146,298,2146,291,2109,3287,47527,42,0,1,1
8582,1538,81022,516,34347,157089,71628,828,25290,26478,2944,575,3292,575,3311,3286,130130,0,0,0,1
10898,1955,108263,1026,33781,194956,70593,4427,107647,106825,17082,268,2304,267,2289,3683,140182,1,0,0,1
11999,2397,138184,1207,43259,317972,88986,1460,49712,49711,5492,190,2016,190,2029,3322,139488,1,0,0,1
8429,1701,102861,631,33674,206006,70414,2146,61466,61466,7629,199,2077,210,2417,3164,132653,0,1,2,1
8656,1553,113773,496,41607,239524,87495,1889,219863,220789,6535,202,2347,190,2004,2455,68425,1,4,5,1
9603,1782,124950,589,39592,191581,81926,643,258881,258256,1043,1015,5369,1028,5414,3092,64763,11,227,227,1
8873,1606,82512,491,34319,154765,71684,1089,157694,157626,1370,526,3685,534,3858,6443,79141,225,1978,1815,1
8596,1479,79230,454,34072,151197,71252,798,154431,154169,1403,2205,14761,2226,14935,48536,357494,854,59,63,1
8615,1439,79133,479,37874,183207,77680,456,157777,157739,701,4084,31025,4106,31098,2914,14560,59,5,7,1
13927,2859,177439,1639,16205,134553,34965,544,153761,153932,663,3866,29886,3858,29531,1804,14170,17,7,8,1
9060,2037,90487,707,59568,594439,131213,697,147880,147682,891,1644,5686,1588,5577,2187,16905,4,0,3,1
4512,1136,72032,480,39762,297221,83337,633,152156,152116,669,26,134,25,114,1660,12682,0,0,3,1
183512,41626,2786209,23594,63292,500220,131494,693,163566,163528,675,27,123,27,123,1894,14368,4,3,7,1
15898,4302,290952,2109,41371,298788,86443,703,149672,149676,714,392,2586,392,2591,1636,12934,2,0,1,1
12511,3080,157913,1542,148146,1214528,342066,1076,148728,148892,2100,448,1480,459,1538,1394,12452,0,1,3,1
10637,2265,102918,1177,54876,383609,90137,768,144232,143872,2081,594,3162,584,3157,1346,12258,0,1,2,1
9334,1989,91980,706,33998,156890,70857,1927,139005,139420,14763,557,3950,715,4639,1316,12027,0,0,3,1
8828,1686,71712,518,34051,136640,71059,2025,139967,139773,15628,4403,26757,4368,26271,1665,13540,4,0,1,1
13840,2673,173091,1445,38302,171338,79443,1251,111779,111660,7534,1870,6847,1807,6823,1878,15839,0,0,2,1
8963,1805,100313,643,50040,266516,103515,38,117355,117387,38,2318,12753,2334,12744,1558,12865,0,0,4,1
8593,1599,105567,505,35742,145368,74943,52,117405,117390,272,3980,17473,4060,17527,1641,13670,2,0,3,1
9663,1848,117047,600,40006,183204,81130,42,123775,123830,39,4560,27567,4437,27379,1641,13692,1,1,6,1
9882,1958,101998,630,38750,172094,80766,240,115370,115439,968,571,4170,529,4062,1356,12386,0,4,5,1
8844,1596,69646,510,34312,135140,71032,967,73438,73491,2977,199,2080,198,2081,1547,13035,0,221,256,1
8811,1502,69132,450,35045,138880,72858,2470,151918,154403,3607,228,2559,227,2882,1554,12780,2,1979,1827,1
8661,1491,68028,458,38074,159248,79158,3686,164213,161202,12511,2440,17964,2503,18006,946,6002,1,60,62,1
10205,2048,127629,1055,34043,162241,71627,2010,160332,161327,6581,4204,31741,4149,31814,7733,50968,281,9,8,1
3981,1032,72822,462,43327,297208,90781,2397,131247,131069,7275,3918,28748,3971,28480,2632,15686,32,4,6,1
182299,40863,2486611,23612,39258,275067,80682,1843,531574,531399,3082,1148,3209,1086,3022,2732,20138,22,3,5,1
14867,3983,245231,2002,34852,168861,72588,490,180714,180117,729,318,1832,318,1834,9737,98722,230,2,6,1
13465,3285,162828,1675,38389,175429,78544,743,160567,160327,947,106,849,135,867,9425,66412,563,9,7,1
