Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
4713,566,48284,45,48368,628311,108928,97,21182,21181,1452,935,6717,905,6793,7317,59375,263,249,232,0
5377,663,60511,53,24678,172211,54647,26,16549,16549,1808,785,6968,845,7074,7162,103098,238,24,2,0
4799,574,33141,43,16447,96342,38960,28,15634,17071,876,3516,24041,3493,24179,6260,126512,79,113,50,0
4847,567,35235,53,15288,64537,36558,2547,59917,58481,6759,3354,22071,3391,21841,7898,97188,62,188,173,0
4814,579,33011,42,15287,67695,37413,1200,38138,38137,3568,3332,18074,3266,17918,7054,50408,279,357,175,0
4800,573,35574,53,15748,60641,37409,199,22889,22889,907,1369,9331,1425,9489,8360,65627,192,191,100,0
4842,578,32554,44,15748,65094,36563,68,18823,18823,544,2007,13576,1995,13516,8392,73866,168,120,78,0
5966,701,58217,87,15431,64843,36901,32,17693,17693,198,4549,20246,4515,20335,7637,61241,291,188,188,0
4800,571,33315,45,21789,123182,50225,23,16550,16550,418,2930,20861,2965,20987,8333,51435,286,362,235,0
5707,681,52123,70,15279,65522,36573,24,16550,16550,428,4507,21323,4504,21272,9106,58806,309,267,178,0
5158,710,37686,44,17186,94406,40356,25,16550,16550,425,3668,23354,3654,23463,8446,70492,140,235,141,0
12201,1736,168716,732,46876,510962,99598,25,16411,16411,824,3671,26250,3688,26016,7893,63573,230,99,62,0
5383,1416,116159,1069,126459,725355,323269,3147,88264,89298,10976,3102,11979,3221,12198,1729,11039,11,0,1,0
27532,7317,640443,4230,157787,1055903,323400,4895,105030,103936,14580,4825,25206,4786,25086,3108,23780,64,18,6,0
13183,3261,269282,1657,119331,1083631,241913,3751,90669,92719,13508,3077,26329,3002,26549,1894,14295,2,13,1,0
10601,2318,223624,1119,178640,883085,352339,2929,159294,158078,19581,2131,31149,2143,30858,1656,13957,1,29,43,0
9778,2123,212402,762,115601,872125,240379,3194,175231,176386,18056,3329,15453,3361,15311,2422,17685,7,71,56,0
8834,1790,241086,519,136689,932622,321042,5544,150949,149709,9203,3734,17963,3800,18009,2009,15816,3,0,0,0
15043,2849,358402,1880,124297,893752,290918,2132,116843,116841,17318,2471,29673,2408,30381,1832,14764,0,19,6,0
10041,1973,254978,1046,114318,880324,292634,2779,103450,102861,16083,3025,28602,3073,27851,1590,12886,0,0,1,0
9760,1774,262492,940,191497,872755,424298,2708,224999,226328,8406,2492,20727,2360,20584,1453,12253,0,0,0,0
9871,1748,237673,954,146272,956949,343287,2825,132088,132273,15440,2395,25398,2399,26004,1363,12340,0,65,78,0
11449,2254,301093,1134,205863,1042185,555201,2874,236191,236697,11539,1386,23453,1393,23201,1865,14736,3,463,332,0
9826,1821,252135,967,212464,958191,581466,3164,188258,187002,12992,1732,20767,1738,20670,1461,12497,0,439,454,0
12137,2237,318985,1404,188456,973908,510338,2903,155963,156146,8446,1750,22178,1741,22140,1393,12392,0,240,256,0
