Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
4749,668,35462,26,56710,433956,119438,39,16945,16816,659,503,3194,502,3036,6005,100909,13,4,0,1
17173,3870,280020,2166,143423,701361,348690,1958,47947,47947,6889,307,938,310,938,3941,142596,0,8,2,1
37898,6690,354702,2130,163302,1152245,436534,3563,154411,153966,10395,9,1183,140,1346,1465,12652,0,12,13,1
2962,353,25654,45,192029,1383134,529252,34,15792,15666,602,210,2164,85,1925,625,6992,0,0,0,1
14299,3500,254133,2475,14505,65734,34225,2344,60334,61052,7535,28,1157,29,1159,1066,12078,0,13,3,1
31497,5618,319925,1871,56358,568924,129961,2598,103486,103598,6889,45,2349,47,2054,567,6756,0,11,5,1
2959,335,25157,50,122087,747962,361476,53,15882,15755,651,280,822,283,828,304,3731,0,13,13,1
13417,3161,255331,2550,11838,53059,23637,2474,53277,53276,6680,9,733,9,811,561,8111,0,18,0,1
81818,3519,316056,995,22845,184191,46831,3584,143674,143387,9558,290,1936,293,1773,568,7863,0,1,6,1
107039,4144,434036,940,17102,95156,29802,1656,41132,40859,6117,89,439,86,426,332,4061,0,167,136,1
2956,335,25153,44,11835,50150,23633,55,18461,18332,1181,450,1907,454,1939,797,10595,1,77,72,1
7259,737,93020,94,15614,94686,27776,1900,46364,46364,5913,333,1999,335,2103,281,4014,0,1,0,1
2956,346,25217,47,18719,104327,35896,2990,138345,138132,9198,309,2088,309,1897,367,4767,1,0,0,1
9032,896,113104,133,14399,89467,28884,43,16929,16802,804,131,533,130,533,415,5122,0,0,0,1
3791,469,45919,108,32818,248182,63199,2364,53368,53368,6857,403,3363,547,4023,572,8126,0,0,0,1
8938,880,105841,105,12476,46058,23627,2350,142537,145897,4255,1849,12466,1797,11950,3028,62882,12,0,0,1
5471,815,46964,53,146351,829129,392583,4775,175084,174114,13610,4095,12581,4133,12616,7111,137222,15,9,3,1
7660,1081,73300,34,174628,1021505,549685,5716,189835,187807,17285,17,1119,168,1381,4362,121487,0,13,12,1
5660,784,57152,56,119197,825697,786532,36,15768,16789,833,211,3213,76,2685,427,5010,0,0,0,1
5337,835,51034,96,31371,268994,80380,1979,50057,48909,6507,21,224,6,186,325,4608,0,0,0,1
7204,1089,74858,28,25867,221236,56958,1963,88725,89409,5004,557,1744,563,1785,437,6423,0,2,5,1
6034,798,52966,47,58966,479130,129506,370,19000,20189,2900,11,173,7,143,365,5157,0,146,135,1
3772,1108,72128,544,43188,316251,91204,1885,55180,54358,6634,2253,10550,2288,10868,198,6741,0,61,50,1
13680,3086,223680,1759,31750,220103,65659,378,17707,19005,2268,5138,23613,5245,23356,3144,63572,14,9,3,1
9362,2163,144981,760,45414,283417,95003,2242,63397,62468,7945,14,743,8,835,7115,129640,15,11,12,1
